lat,lon
51.9,4.55
52.25,6.1
52.9,6.0
51.8,4.55
52.3,5.2
50.75,5.9
51.95,5.5
53.15,6.45
51.8,3.85
52.9,4.7
55.56291,12.9457
59.63148,15.2081
51.439064,-0.142419
50.155204,8.714855
50.91814,13.04943
51.74221,23.028669
50.544697,-3.729673
51.541889,-4.212423
49.186943,16.725038
54.541572,-5.9626
49.94364,36.400092
48.962667,17.389508
50.46941,30.510219
50.024348,14.527175
43.167851,76.758726
44.404061,26.125698
53.52411,-2.58844
50.057747,14.343465
40.447752,-1.606861
53.571495,-2.8784
50.509033,-4.069744
51.462903,0.074742
43.066785,-89.47246
43.866197,24.387218
53.724429,-0.384977
50.018689,28.143795
40.423509,-75.268434
52.471149,9.599469
43.059845,76.719161
46.146585,14.625909
54.983233,57.268518
53.496698,-2.444059
40.194389,-105.330788
49.601983,17.23847
-39.454374,174.408512
50.094806,10.798526
52.90938,-1.860522
55.507393,-1.732591
42.445194,-2.499368
43.145224,76.634379
46.56016,30.726453
33.500919,-84.417343
49.465366,10.858291
47.16962,-122.566688
42.672613,-85.300553
52.378147,-7.841382
48.759469,16.844945
53.209903,-2.902207
49.121237,-123.069321
43.161152,76.900285
49.441373,-119.560733
52.939689,-1.45625
46.95238,16.30283
49.818493,18.348314
51.757228,11.08451
48.423286,-123.466412
52.192914,21.029538
51.357419,-0.336656
50.455366,8.588499
48.591422,-123.032975
51.307419,-0.545523
46.398679,-63.853742
47.948818,7.911084
49.814802,23.999107
51.788122,17.869536
43.270068,77.10217
48.751236,26.639004
49.638744,6.534658
47.67917,-122.253022
-45.066139,168.53305
54.801522,-1.682492
45.48183,-122.594467
50.130231,14.507489
54.763647,-5.727429
46.248987,25.18994
-43.793337,172.25688
48.203933,16.236542
47.321152,15.370766
-36.608812,174.670412
50.23764,14.536787
51.168091,5.626535
42.07439,-75.978274
48.956455,8.493892
55.119264,37.761119
51.422979,-0.787111
50.158186,15.105336
42.369093,18.890801
49.868369,14.433681
52.517342,13.174625
47.083794,15.448331
55.773817,-4.023828
38.51918,-79.574568
52.479009,13.363235
51.431194,12.336267
47.201732,30.895078
52.900182,-1.234051
44.837569,7.240146
52.570881,-1.550079
43.215374,27.9428
49.242202,16.571791
50.847542,24.326925
47.480737,19.227189
52.051822,-2.7707
31.42964,-110.290659
48.695407,-1.890282
40.563482,-105.18218
53.702245,-2.589867
49.628349,10.990077
44.579587,-123.300365
56.072247,-3.181732
38.33087,-78.560141
47.172337,16.354513
51.63526,0.014726
59.1229,16.72074
59.07786,15.09372
58.57483,13.35322
59.591386,11.179426
51.04474,5.54214
50.94908,5.72402
51.3059,3.09311
51.00196,4.93226
50.81375,4.30681
51.3101,4.83434
53.519194,-3.062382
52.269028,20.685268
50.022523,8.055432
54.372009,10.114125
48.2831,9.951937
53.414607,-2.04423
41.001498,-81.222072
38.220111,-85.712169
48.393455,15.55718
43.001786,76.891546
52.43643,17.224047
54.656189,-5.904425
53.352947,-2.667502
53.732185,10.005501
51.30217,18.910125
53.331707,-2.993507
51.012629,29.763762
54.609839,55.696755
49.020149,-123.046471
51.156541,71.440873
53.395926,-2.874768
54.901235,-1.389959
49.337381,11.293
43.630397,76.550603
49.065997,-122.845969
53.839479,-3.015817
43.066713,76.987164
53.060957,-0.964318
49.095395,-123.856475
48.341133,15.400548
50.024496,19.899249
44.636928,37.924035
54.619233,-1.213687
44.212275,44.834469
53.421329,-3.076458
43.068764,-81.193727
43.137451,76.425613
48.410908,9.932447
49.645476,32.181444
-43.853308,172.374482
50.536406,30.301558
53.631638,26.000686
53.475516,25.902205
45.428722,12.395286
53.475728,-1.48378
53.677529,-2.980391
43.378997,77.058653
44.48785,26.035088
38.847303,-0.611275
53.962266,27.581705
-37.733417,145.138764
52.242388,21.154597
53.907958,-1.186214
-39.009734,174.242986
53.357003,-1.374888
50.290577,-3.643403
41.1888,29.073454
49.281478,-122.834919
47.483721,12.192123
48.995934,14.442533
52.735495,24.270345
56.91335,14.38763
41.512171,-87.904355
52.368515,23.410143
52.150536,-2.143688
55.772362,11.66203
57.86088,12.00205
50.116828,15.413025
56.82137,14.51891
61.151976,11.3578
59.486379,11.188229
50.93488,3.38214
44.69251,-93.062628
-38.572061,175.703088
51.651423,20.167551
42.218525,13.511166
50.52741,26.231437
38.318517,-80.092544
49.071896,17.489072
49.194522,-122.592133
49.336142,16.730737
52.995571,6.37826
-43.04334,171.75318
53.850325,27.613575
54.186947,-3.063785
59.32504,18.14175
60.54101,15.62142
58.02705,14.96228
58.92429,16.27825
55.71509,13.32582
59.744572,10.183572
50.89394,3.06463
51.1884,5.07576
50.92392,4.78891
49.690743,31.155473
31.124314,-7.918753
45.836955,-121.982842
53.336995,36.701295
53.18674,45.057277
50.310986,30.298201
52.686618,44.627804
55.074056,49.91184
30.434902,78.305268
44.740947,-91.868531
50.177398,30.320797
54.031918,51.078092
49.519064,13.500528
52.572278,39.466553
56.233056,44.064286
51.139322,37.669708
51.5459,-0.149199
49.264637,36.924283
51.748874,39.158275
54.225745,37.607409
40.745546,44.875462
54.276832,12.458978
55.979707,-3.295922
43.051233,-2.171088
55.200301,61.303993
53.318286,49.410931
49.988919,41.484691
57.70543,16.183081
55.810786,36.365306
59.4474,15.90743
57.91774,11.75802
58.5007,13.83217
56.79026,12.64283
57.75968,16.70063
57.63538,11.90545
55.40743,12.99888
56.64555,12.76608
58.62561,16.21076
